Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,CalculatorTests\CalculatorTests.csproj,File,CalculatorTests\CalculatorTests.csproj,,,,,,,,Aktuelles Zielframework: net6.0-windows Empfohlenes Zielframework: net10.0-windows
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Collections.Immutable 9.0.7,,,,,"System.Collections.Immutable, 9.0.7  Empfehlung:  Remove System.Collections.Immutable, and replace with new package System.Collections.Immutable 10.0.3"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Drawing.Primitives 4.3.0,,,,,"System.Drawing.Primitives, 4.3.0  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.ValueTuple 4.6.1,,,,,"System.ValueTuple, 4.6.1  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
NuGet.0003,Die Funktionalität des NuGet-Pakets ist im Frameworkverweis enthalten,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Empfehlung:  Im neuen Frameworkverweis enthaltene Paketfunktionalität"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\ExampleCalculatorApp.csproj,,,,,,,,Aktuelles Zielframework: net6.0-windows Empfohlenes Zielframework: net10.0-windows
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\MainWindow.g.i.cs,107,12,T:System.Windows.Controls.Label,,,,,this.valueLabel = ((System.Windows.Controls.Label)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\MainWindow.g.i.cs,85,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\MainWindow.g.i.cs,85,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ExampleCalculatorApp\ExampleCalculatorApp.csproj,File,ExampleCalculatorApp\obj\Debug\net6.0-windows\Views\MainWindow.g.i.cs,82,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/ExampleCalculatorApp;component/views/mainwindow.xaml"", System.UriKind.Relative);"
